Fonte:CovidSus
Autor:Datasus
DataGerado:07/07/2020



regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos;interior/metropolitana
Brasil;;;76;;;;29/05/2020;22;210147125;465166;26928;27878;1124;189476;247812;
Brasil;;;76;;;;30/05/2020;22;210147125;498440;33274;28834;956;200892;268714;
Brasil;;;76;;;;31/05/2020;23;210147125;514200;15760;29314;480;206555;278331;
Brasil;;;76;;;;01/06/2020;23;210147125;526447;12247;29937;623;211080;285430;
Brasil;;;76;;;;02/06/2020;23;210147125;555383;28936;31199;1262;223638;300546;
Brasil;;;76;;;;03/06/2020;23;210147125;584016;28633;32548;1349;238617;312851;
Brasil;;;76;;;;04/06/2020;23;210147125;614941;30925;34021;1473;254963;325957;
Brasil;;;76;;;;05/06/2020;23;210147125;645771;30830;35026;1005;266940;343805;
Brasil;;;76;;;;06/06/2020;23;210147125;672846;27075;35930;904;277149;359767;
Brasil;;;76;;;;07/06/2020;24;210147125;691758;18912;36455;525;283952;371351;
Brasil;;;76;;;;08/06/2020;24;210147125;707412;15654;37134;679;290040;380238;
Brasil;;;76;;;;09/06/2020;24;210147125;739503;32091;38406;1272;311064;390033;
Brasil;;;76;;;;10/06/2020;24;210147125;772416;32913;39680;1274;325395;407341;
Brasil;;;76;;;;11/06/2020;24;210147125;802828;30412;40919;1239;345595;416314;
Brasil;;;76;;;;12/06/2020;24;210147125;828810;25982;41828;909;365063;421919;
Brasil;;;76;;;;13/06/2020;24;210147125;850514;21704;42720;892;379245;428549;
Brasil;;;76;;;;14/06/2020;25;210147125;867624;17110;43332;612;388492;435800;
Brasil;;;76;;;;15/06/2020;25;210147125;888271;20647;43959;627;412252;432060;
Brasil;;;76;;;;16/06/2020;25;210147125;923189;34918;45241;1282;441729;436219;
Brasil;;;76;;;;17/06/2020;25;210147125;955377;32188;46510;1269;463474;445393;
Brasil;;;76;;;;18/06/2020;25;210147125;978142;22765;47748;1238;482102;448292;
Brasil;;;76;;;;19/06/2020;25;210147125;1032913;54771;48954;1206;507200;476759;
Brasil;;;76;;;;20/06/2020;25;210147125;1067579;34666;49976;1022;520734;496869;
Brasil;;;76;;;;21/06/2020;26;210147125;1085038;17459;50617;641;549386;485035;
Brasil;;;76;;;;22/06/2020;26;210147125;1106470;21432;51271;654;571649;483550;
Brasil;;;76;;;;23/06/2020;26;210147125;1145906;39436;52645;1374;613345;479916;
Brasil;;;76;;;;24/06/2020;26;210147125;1188631;42725;53830;1185;649908;484893;
Brasil;;;76;;;;25/06/2020;26;210147125;1228114;39483;54971;1141;673729;499414;
Brasil;;;76;;;;26/06/2020;26;210147125;1274974;46860;55961;990;697526;521487;
Brasil;;;76;;;;27/06/2020;26;210147125;1313667;38693;57070;1109;715905;540692;
Brasil;;;76;;;;28/06/2020;27;210147125;1344143;30476;57622;552;733848;552673;
Brasil;;;76;;;;29/06/2020;27;210147125;1368195;24052;58314;692;757462;552419;
Brasil;;;76;;;;30/06/2020;27;210147125;1402041;33846;59594;1280;790040;552407;
Brasil;;;76;;;;01/07/2020;27;210147125;1448753;46712;60632;1038;826866;561255;
Brasil;;;76;;;;02/07/2020;27;210147125;1496858;48105;61884;1252;852816;582158;
Brasil;;;76;;;;03/07/2020;27;210147125;1539081;42223;63174;1290;868372;607535;
Brasil;;;76;;;;04/07/2020;27;210147125;1577004;37923;64265;1091;876359;636380;
Brasil;;;76;;;;05/07/2020;28;210147125;1603055;26051;64867;602;906286;631902;
Brasil;;;76;;;;06/07/2020;28;210147125;1623284;20229;65487;620;927292;630505;
Centro-Oeste;MS;;50;;;;25/02/2020;9;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;26/02/2020;9;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;27/02/2020;9;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;28/02/2020;9;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;29/02/2020;9;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;01/03/2020;10;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;02/03/2020;10;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;03/03/2020;10;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;04/03/2020;10;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;05/03/2020;10;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;06/03/2020;10;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;07/03/2020;10;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;08/03/2020;11;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;09/03/2020;11;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;10/03/2020;11;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;11/03/2020;11;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;12/03/2020;11;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;13/03/2020;11;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;14/03/2020;11;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;15/03/2020;12;2778986;0;0;0;0;;;
Centro-Oeste;MS;;50;;;;16/03/2020;12;2778986;2;2;0;0;;;
Centro-Oeste;MS;;50;;;;17/03/2020;12;2778986;4;2;0;0;;;
Centro-Oeste;MS;;50;;;;18/03/2020;12;2778986;7;3;0;0;;;
Centro-Oeste;MS;;50;;;;19/03/2020;12;2778986;7;0;0;0;;;
Centro-Oeste;MS;;50;;;;20/03/2020;12;2778986;9;2;0;0;;;
Centro-Oeste;MS;;50;;;;21/03/2020;12;2778986;16;7;0;0;;;
Centro-Oeste;MS;;50;;;;22/03/2020;13;2778986;21;5;0;0;;;
Centro-Oeste;MS;;50;;;;23/03/2020;13;2778986;21;0;0;0;;;
Centro-Oeste;MS;;50;;;;24/03/2020;13;2778986;23;2;0;0;;;
Centro-Oeste;MS;;50;;;;25/03/2020;13;2778986;24;1;0;0;;;
Centro-Oeste;MS;;50;;;;26/03/2020;13;2778986;25;1;0;0;;;
Centro-Oeste;MS;;50;;;;27/03/2020;13;2778986;28;3;0;0;;;
Centro-Oeste;MS;;50;;;;28/03/2020;13;2778986;31;3;0;0;;;
Centro-Oeste;MS;;50;;;;29/03/2020;14;2778986;36;5;0;0;;;
Centro-Oeste;MS;;50;;;;30/03/2020;14;2778986;44;8;0;0;;;
Centro-Oeste;MS;;50;;;;31/03/2020;14;2778986;48;4;1;1;;;
Centro-Oeste;MS;;50;;;;01/04/2020;14;2778986;51;3;1;0;;;
Centro-Oeste;MS;;50;;;;02/04/2020;14;2778986;53;2;1;0;;;
Centro-Oeste;MS;;50;;;;03/04/2020;14;2778986;60;7;1;0;;;
Centro-Oeste;MS;;50;;;;04/04/2020;14;2778986;62;2;1;0;;;
Centro-Oeste;MS;;50;;;;05/04/2020;15;2778986;65;3;1;0;;;
Centro-Oeste;MS;;50;;;;06/04/2020;15;2778986;66;1;1;0;;;
Centro-Oeste;MS;;50;;;;07/04/2020;15;2778986;80;14;2;1;;;
Centro-Oeste;MS;;50;;;;08/04/2020;15;2778986;85;5;2;0;;;
Centro-Oeste;MS;;50;;;;09/04/2020;15;2778986;89;4;2;0;;;
Centro-Oeste;MS;;50;;;;10/04/2020;15;2778986;97;8;2;0;;;
Centro-Oeste;MS;;50;;;;11/04/2020;15;2778986;100;3;2;0;;;
Centro-Oeste;MS;;50;;;;12/04/2020;16;2778986;101;1;2;0;;;
Centro-Oeste;MS;;50;;;;13/04/2020;16;2778986;113;12;4;2;;;
Centro-Oeste;MS;;50;;;;14/04/2020;16;2778986;115;2;4;0;;;
Centro-Oeste;MS;;50;;;;15/04/2020;16;2778986;121;6;4;0;;;
Centro-Oeste;MS;;50;;;;16/04/2020;16;2778986;131;10;5;1;;;
Centro-Oeste;MS;;50;;;;17/04/2020;16;2778986;143;12;5;0;;;
Centro-Oeste;MS;;50;;;;18/04/2020;16;2778986;161;18;5;0;;;
Centro-Oeste;MS;;50;;;;19/04/2020;17;2778986;168;7;5;0;;;
Centro-Oeste;MS;;50;;;;20/04/2020;17;2778986;171;3;5;0;;;
Centro-Oeste;MS;;50;;;;21/04/2020;17;2778986;173;2;6;1;;;
Centro-Oeste;MS;;50;;;;22/04/2020;17;2778986;175;2;6;0;;;
Centro-Oeste;MS;;50;;;;23/04/2020;17;2778986;186;11;7;1;;;
Centro-Oeste;MS;;50;;;;24/04/2020;17;2778986;213;27;7;0;;;
Centro-Oeste;MS;;50;;;;25/04/2020;17;2778986;217;4;7;0;;;
Centro-Oeste;MS;;50;;;;26/04/2020;18;2778986;234;17;7;0;;;
Centro-Oeste;MS;;50;;;;27/04/2020;18;2778986;238;4;9;2;;;
Centro-Oeste;MS;;50;;;;28/04/2020;18;2778986;240;2;9;0;;;
Centro-Oeste;MS;;50;;;;29/04/2020;18;2778986;249;9;9;0;;;
Centro-Oeste;MS;;50;;;;30/04/2020;18;2778986;255;6;9;0;;;
Centro-Oeste;MS;;50;;;;01/05/2020;18;2778986;261;6;9;0;;;
Centro-Oeste;MS;;50;;;;02/05/2020;18;2778986;266;5;9;0;;;
Centro-Oeste;MS;;50;;;;03/05/2020;19;2778986;272;6;10;1;;;
Centro-Oeste;MS;;50;;;;04/05/2020;19;2778986;274;2;10;0;;;
Centro-Oeste;MS;;50;;;;05/05/2020;19;2778986;283;9;10;0;;;
Centro-Oeste;MS;;50;;;;06/05/2020;19;2778986;288;5;10;0;;;
Centro-Oeste;MS;;50;;;;07/05/2020;19;2778986;311;23;10;0;;;
Centro-Oeste;MS;;50;;;;08/05/2020;19;2778986;326;15;11;1;;;
Centro-Oeste;MS;;50;;;;09/05/2020;19;2778986;346;20;11;0;;;
Centro-Oeste;MS;;50;;;;10/05/2020;20;2778986;362;16;11;0;;;
Centro-Oeste;MS;;50;;;;11/05/2020;20;2778986;385;23;11;0;;;
Centro-Oeste;MS;;50;;;;12/05/2020;20;2778986;405;20;12;1;;;
Centro-Oeste;MS;;50;;;;13/05/2020;20;2778986;430;25;13;1;;;
Centro-Oeste;MS;;50;;;;14/05/2020;20;2778986;452;22;14;1;;;
Centro-Oeste;MS;;50;;;;15/05/2020;20;2778986;479;27;14;0;;;
Centro-Oeste;MS;;50;;;;16/05/2020;20;2778986;508;29;15;1;;;
Centro-Oeste;MS;;50;;;;17/05/2020;21;2778986;570;62;15;0;;;
Centro-Oeste;MS;;50;;;;18/05/2020;21;2778986;613;43;16;1;;;
Centro-Oeste;MS;;50;;;;19/05/2020;21;2778986;642;29;16;0;;;
Centro-Oeste;MS;;50;;;;20/05/2020;21;2778986;693;51;17;1;;;
Centro-Oeste;MS;;50;;;;21/05/2020;21;2778986;746;53;17;0;;;
Centro-Oeste;MS;;50;;;;22/05/2020;21;2778986;805;59;17;0;;;
Centro-Oeste;MS;;50;;;;23/05/2020;21;2778986;858;53;17;0;;;
Centro-Oeste;MS;;50;;;;24/05/2020;22;2778986;924;66;17;0;;;
Centro-Oeste;MS;;50;;;;25/05/2020;22;2778986;1023;99;17;0;;;
Centro-Oeste;MS;;50;;;;26/05/2020;22;2778986;1100;77;17;0;;;
Centro-Oeste;MS;;50;;;;27/05/2020;22;2778986;1186;86;18;1;;;
Centro-Oeste;MS;;50;;;;28/05/2020;22;2778986;1262;76;18;0;;;
Centro-Oeste;MS;;50;;;;29/05/2020;22;2778986;1356;94;18;0;;;
Centro-Oeste;MS;;50;;;;30/05/2020;22;2778986;1418;62;19;1;;;
Centro-Oeste;MS;;50;;;;31/05/2020;23;2778986;1489;71;20;1;;;
Centro-Oeste;MS;;50;;;;01/06/2020;23;2778986;1568;79;20;0;;;
Centro-Oeste;MS;;50;;;;02/06/2020;23;2778986;1646;78;20;0;;;
Centro-Oeste;MS;;50;;;;03/06/2020;23;2778986;1802;156;20;0;;;
Centro-Oeste;MS;;50;;;;04/06/2020;23;2778986;1925;123;20;0;;;
Centro-Oeste;MS;;50;;;;05/06/2020;23;2778986;1997;72;21;1;;;
Centro-Oeste;MS;;50;;;;06/06/2020;23;2778986;2132;135;21;0;;;
Centro-Oeste;MS;;50;;;;07/06/2020;24;2778986;2253;121;21;0;;;
Centro-Oeste;MS;;50;;;;08/06/2020;24;2778986;2324;71;22;1;;;
Centro-Oeste;MS;;50;;;;09/06/2020;24;2778986;2455;131;22;0;;;
Centro-Oeste;MS;;50;;;;10/06/2020;24;2778986;2597;142;24;2;;;
Centro-Oeste;MS;;50;;;;11/06/2020;24;2778986;2853;256;25;1;;;
Centro-Oeste;MS;;50;;;;12/06/2020;24;2778986;3001;148;28;3;;;
Centro-Oeste;MS;;50;;;;13/06/2020;24;2778986;3235;234;28;0;;;
Centro-Oeste;MS;;50;;;;14/06/2020;25;2778986;3433;198;31;3;;;
Centro-Oeste;MS;;50;;;;15/06/2020;25;2778986;3551;118;33;2;;;
Centro-Oeste;MS;;50;;;;16/06/2020;25;2778986;3785;234;36;3;;;
Centro-Oeste;MS;;50;;;;17/06/2020;25;2778986;4164;379;36;0;;;
Centro-Oeste;MS;;50;;;;18/06/2020;25;2778986;4274;110;39;3;;;
Centro-Oeste;MS;;50;;;;19/06/2020;25;2778986;4666;392;40;1;;;
Centro-Oeste;MS;;50;;;;20/06/2020;25;2778986;4990;324;43;3;;;
Centro-Oeste;MS;;50;;;;21/06/2020;26;2778986;5237;247;45;2;;;
Centro-Oeste;MS;;50;;;;22/06/2020;26;2778986;5391;154;47;2;;;
Centro-Oeste;MS;;50;;;;23/06/2020;26;2778986;5784;393;55;8;;;
Centro-Oeste;MS;;50;;;;24/06/2020;26;2778986;6201;417;56;1;;;
Centro-Oeste;MS;;50;;;;25/06/2020;26;2778986;6523;322;61;5;;;
Centro-Oeste;MS;;50;;;;26/06/2020;26;2778986;6913;390;65;4;;;
Centro-Oeste;MS;;50;;;;27/06/2020;26;2778986;7307;394;68;3;;;
Centro-Oeste;MS;;50;;;;28/06/2020;27;2778986;7527;220;72;4;;;
Centro-Oeste;MS;;50;;;;29/06/2020;27;2778986;7676;149;75;3;;;
Centro-Oeste;MS;;50;;;;30/06/2020;27;2778986;7965;289;76;1;;;
Centro-Oeste;MS;;50;;;;01/07/2020;27;2778986;8676;711;85;9;;;
Centro-Oeste;MS;;50;;;;02/07/2020;27;2778986;9062;386;91;6;;;
Centro-Oeste;MS;;50;;;;03/07/2020;27;2778986;9388;326;107;16;;;
Centro-Oeste;MS;;50;;;;04/07/2020;27;2778986;9910;522;114;7;;;
Centro-Oeste;MS;;50;;;;05/07/2020;28;2778986;10089;179;117;3;;;
Centro-Oeste;MS;;50;;;;06/07/2020;28;2778986;10253;164;122;5;;;
Centro-Oeste;MT;;51;;;;25/02/2020;9;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;26/02/2020;9;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;27/02/2020;9;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;28/02/2020;9;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;29/02/2020;9;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;01/03/2020;10;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;02/03/2020;10;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;03/03/2020;10;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;04/03/2020;10;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;05/03/2020;10;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;06/03/2020;10;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;07/03/2020;10;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;08/03/2020;11;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;09/03/2020;11;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;10/03/2020;11;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;11/03/2020;11;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;12/03/2020;11;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;13/03/2020;11;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;14/03/2020;11;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;15/03/2020;12;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;16/03/2020;12;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;17/03/2020;12;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;18/03/2020;12;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;19/03/2020;12;3484466;0;0;0;0;;;
Centro-Oeste;MT;;51;;;;20/03/2020;12;3484466;1;1;0;0;;;
Centro-Oeste;MT;;51;;;;21/03/2020;12;3484466;2;1;0;0;;;
Centro-Oeste;MT;;51;;;;22/03/2020;13;3484466;2;0;0;0;;;
Centro-Oeste;MT;;51;;;;23/03/2020;13;3484466;2;0;0;0;;;
Centro-Oeste;MT;;51;;;;24/03/2020;13;3484466;7;5;0;0;;;
Centro-Oeste;MT;;51;;;;25/03/2020;13;3484466;8;1;0;0;;;
Centro-Oeste;MT;;51;;;;26/03/2020;13;3484466;11;3;0;0;;;
Centro-Oeste;MT;;51;;;;27/03/2020;13;3484466;11;0;0;0;;;
Centro-Oeste;MT;;51;;;;28/03/2020;13;3484466;13;2;0;0;;;
Centro-Oeste;MT;;51;;;;29/03/2020;14;3484466;16;3;0;0;;;
Centro-Oeste;MT;;51;;;;30/03/2020;14;3484466;18;2;0;0;;;
Centro-Oeste;MT;;51;;;;31/03/2020;14;3484466;25;7;0;0;;;
Centro-Oeste;MT;;51;;;;01/04/2020;14;3484466;27;2;0;0;;;
Centro-Oeste;MT;;51;;;;02/04/2020;14;3484466;36;9;0;0;;;
Centro-Oeste;MT;;51;;;;03/04/2020;14;3484466;44;8;1;1;;;
Centro-Oeste;MT;;51;;;;04/04/2020;14;3484466;56;12;1;0;;;
Centro-Oeste;MT;;51;;;;05/04/2020;15;3484466;60;4;1;0;;;
Centro-Oeste;MT;;51;;;;06/04/2020;15;3484466;76;16;1;0;;;
Centro-Oeste;MT;;51;;;;07/04/2020;15;3484466;78;2;1;0;;;
Centro-Oeste;MT;;51;;;;08/04/2020;15;3484466;90;12;1;0;;;
Centro-Oeste;MT;;51;;;;09/04/2020;15;3484466;108;18;2;1;;;
Centro-Oeste;MT;;51;;;;10/04/2020;15;3484466;112;4;2;0;;;
Centro-Oeste;MT;;51;;;;11/04/2020;15;3484466;121;9;3;1;;;
Centro-Oeste;MT;;51;;;;12/04/2020;16;3484466;123;2;3;0;;;
Centro-Oeste;MT;;51;;;;13/04/2020;16;3484466;134;11;4;1;;;
Centro-Oeste;MT;;51;;;;14/04/2020;16;3484466;138;4;4;0;;;
Centro-Oeste;MT;;51;;;;15/04/2020;16;3484466;151;13;4;0;;;
Centro-Oeste;MT;;51;;;;16/04/2020;16;3484466;156;5;5;1;;;
Centro-Oeste;MT;;51;;;;17/04/2020;16;3484466;162;6;5;0;;;
Centro-Oeste;MT;;51;;;;18/04/2020;16;3484466;171;9;5;0;;;
Centro-Oeste;MT;;51;;;;19/04/2020;17;3484466;174;3;5;0;;;
Centro-Oeste;MT;;51;;;;20/04/2020;17;3484466;181;7;6;1;;;
Centro-Oeste;MT;;51;;;;21/04/2020;17;3484466;181;0;6;0;;;
Centro-Oeste;MT;;51;;;;22/04/2020;17;3484466;183;2;6;0;;;
Centro-Oeste;MT;;51;;;;23/04/2020;17;3484466;221;38;7;1;;;
Centro-Oeste;MT;;51;;;;24/04/2020;17;3484466;240;19;8;1;;;
Centro-Oeste;MT;;51;;;;25/04/2020;17;3484466;247;7;9;1;;;
Centro-Oeste;MT;;51;;;;26/04/2020;18;3484466;250;3;9;0;;;
